Недостаточное озеленение,нет зелень
Пустота,пустота
Мало мест для сидения,нет скамейка
Маргинальные личности,маргинал
Грязь,грязь
Отсутствие парковки,нет парковка
Парковка,парковка
Реклама,реклама
Заторы,пробка
Отсутствие уличной еды,нет шаверма
Многолюдность,человек
Автотранспорт,машина
Автотранспорт,транспорт
Отсутствие благоустройства,нет благоустройство
Отсутствие благоустройства,неухоженность
Неуютно,нет уютно
Отсутствие благоустройства,неблагоустроенность
Отсутствие благоустройства,необустроенность
Многолюдность,большое количество людей
Отсутствие освещения,нет освещение
Отсутствие урн,нет урна
Реклама,промоутер
Неуютно,неуютно
Отсутствие фонтана,нет фонтан
Недостаток освещения,темновато
Маршрутки,маршрутка
Торговля,рынок
Пустота,простор
Отсутствие благоустройства,нет благоустроенность
Мало мест для сидения,нет приседать
Мало мест для сидения,нет посидеть
Отсутствие туалетов,нет туалет
Шум,шум
Погода,ветер
Отсутствие навигации,нет указатель
Мало мест для сидения,нет скамеечка
Отсутствие торговли,нет магазин
Отсутствие благоустройства,неустроенность
Автотранспорт,автотранспорт
Неуютно,неуютность
Погода,гололед
Отсутствие благоустройства,нет благоустраивать
Отсутствие велоинфраструктуры,нет велодорожка
Отсутствие уличной еды,нет шавуха
Низкая безопасность,преступность
Низкая безопасность,небезопасный
Низкая безопасность,опасность
Внешний вид,некрасиво
Погода,ветренный
Автотранспорт,трафик
Автотранспорт,машина
Внешний вид,дизайн
Погода,холод
Грязь,пыль
Пустота,голо
Отсутствие благоустройства,нет обустраивать
Отсутствие велоинфраструктуры,нет велопарковка
Отсутствие кафе,нет кафе
Отсутствие кафе,нет точка быстрый питание
Отсутствие украшений,нет украшение
Отсутствие навигации,нет навигация
Грязь,нет чистота
Отсутствие кафе,нет кофейня
Грязь,нет уборка
Недостаточное озеленение,нет зелень
Отсутствие уличной еды,нет шава
Отсутствие уличной еды,нет кофе
Отсутствие навесов,нет крыша над
Подземные переходы,подземные переходы
Отсутствие зон отдыха,отсутствие мест для отдыха
Торговля,стихийная торговля
Торговля,уличный торговля
Отсутствие зон отдыха,отсутствие зон отдыха
Недостаточное озеленение,мало зеленых насождений
Пешеходные переходы,пешеходные переходы
Мало мест для сидения,отсутствие скамеек для отдыха
Подземные переходы,подземный переход
Многолюдность,большой поток людей
Пустота,пустое пространство
Отсутствие зон отдыха,нет мест для отдыха
Автотранспорт,транспортная загруженность
Отсутствие благоустройства,неухоженный вид
Отсутствие торговли,отсутствие торговых павильонов
Мало мест для сидения,отсутствие скамеек и урн
Недостаточное озеленение,"отсутствие зелени, деревьев"
Отсутствие зон отдыха,отсутствие зоны отдыха
Пешеходные переходы,наземные пешеходные переходы
Реклама,звуковая реклама
Торговля,торговля с рук
Многолюдность,большое количество людей
Торговля,уличные торговцы
Торговля,уличная торговля
Реклама,реклама на зданиях
Грязь,плохая уборка снега
Торговля,сенной рынок
Пустота,много пустого пространства
Пустота,стало слишком пусто
Автотранспорт,очень много машин
Многолюдность,толпы людей
Мало мест для сидения,не хватает скамеек
Недостаточное озеленение,не хватает зелени
Автотранспорт,автомобильное движение
Внешний вид,неприглядные павильоны станций метро
Отсутствие зон отдыха,отсутствие рекреационных зон
Отсутствие зон отдыха,отсутствие общественных пространств
Отсутствие туалетов,отсутствие бесплатного общественного туалета
Недостаточное озеленение,недостаток озеленения
Отсутствие навесов,отсутствие козырьков над выходами из метро
Недостаточное озеленение,отсутствие деревьев и скамеек
Реклама,раздатчики листовок
Отсутствие парковки,недостаток парковок
Недостаточное озеленение,недостаток деревьев
Мало мест для сидения,отсутствие скамеек.
Низкая безопасность,отсутствие полиции.
Торговля,оставшиеся ларьки
Отсутствие навесов,отсутствие крыши над входом в метро
Отсутствие зон отдыха,отсутствие мест отдыха
Грязь,неубранный снег
Отсутствие урн,отсутствие урн для мусора
Реклама,голосовая реклама
Парковка,парковка автомобилей
Многолюдность,огромное количество людей
Парковка,осталась большая парковка
Реклама,звуковая реклама от магазинов
Пустота,ощущение пустоты
Реклама,наружная реклама
Пустота,излишняя пустота
Грязь,качество уборки
Грязь,грязь
Парковка,парковки машин
Парковка,парковка машин
Автотранспорт,движение машин
Пустота,выглядит пусто
Пустота,пустота.
Недостаточное озеленение,зеленых насаждений очень мало!!!
Автотранспорт,большое количество машин
Недостаточное озеленение,скудное озеленение
Пустота,пустота площади
Многолюдность,большие потоки людей
Реклама,слишком много рекламы
Реклама,большой яркий экран
Автотранспорт,большой поток машин
Пустота,немного пусто
Пустота,пустота и серость
Пустота,пустая территория
Неровное покрытие,кривая брусчатка
Неровное покрытие,разная плитка
Пустота,пустое место
Грязь,"грязь, серость и мусор"
Пустота,лысые' пространства
Недостаточное озеленение,малое количество деревьев и кустарников
Неровное покрытие,криво положенная плитка
Неровное покрытие,плохо уложенная плитка
Многолюдность,много людей.
Многолюдность,много людей
Пустота,стало очень пусто
Многолюдность,очень много людей
Наличие маргинальных личностей,бомжи на скамейках
Наличие маргинальных личностей,бомжи и алкаши
Грязь,грязь и мусор
Реклама,люди-рекламы
ТЦ ПИК,тц пик
Недостаточное озеленение,мало деревьев.
Недостаточное озеленение,"мало деревьев, зелени"
Недостаточное озеленение,мало деревьев!!!!!!!
Недостаточное озеленение,мало деревьев и зелени
Недостаточное озеленение,мало зелёных насаждений.
Недостаточное озеленение,мало зеленых насаждений.
Недостаточное озеленение,"мало зелёных насаждений, цветов"
Мало мест для сидения,мало лавочек чтоб просто посидеть
Мало мест для сидения,мало скамеек для отдыха
Мало мест для сидения,мало скамеек и зон отдыха
Недостаточное озеленение,мало зелени (деревьев)
Мало мест для сидения,мало мест для отдыха (скамеек)
Мало мест для сидения,мало мест для отдыха
Отсутствие урн,мало урн для мусора
Мало мест для сидения,нет скамеек для отдыха
Отсутствие торговли,нет ларьков с шавермой
Отсутствие навесов,нет навеса над спусками в подземный переход
Неудобные остановки ОТ,остановка от
Неудобные остановки ОТ,нет остановка от
