Места для сидения,скамейка,лавочка,скамья,скамеечка,беседка,сидячий,,,,,,,,,,,,,,
Урны,урна,мусорка,,,,,,,,,,,,,,,,,,,
Озеленение,дерево,зелень,сквер,скверик,клумба,насаждение,цветок,озеленение,аллея,газон,растение,кустарник,куст,парк,сад,садик,растительность,цветник,вазон,туя,парклет,зеленый,зелёный,озеленять,липа,клен,клён
Фонтан,фонтан,фонтанчик,,,,,,,,,,,,,,,,,,,
?,пространство,,,,,,,,,,,,,,,,,,,,
Скульптурные объекты,памятник,скульптура,монумент,статуя,стела,стелла,мир,,,,,,,,,,,,,,
"Кафе, рестораны",кафе,кофейня,кафетерий,ресторан,питание,кафешка,бистро,зонтик,терраса,веранда,кафешок,,,,,,,,
Уличная еда,шаверма,стрит фуд,стритфуд,выпечка,шаурма,фастфуд,мороженое,булочка,автомат,кофе,фудкорт,фаст - фуд,макдональдс,общепит,,,,,,
Тематические ярмарки,ярмарка,елка,ель,елочка,каток,глинтвейн,снек,снеки,,,,,,,,,,,,,
Парковки,парковка,паркинг,стоянка,парковочный,,,,,,,,,,,,,,,,,
Выставки,выставка,фотография,инсталяция,инсталляция,картина,фотовыставка,,,,,,,,,,,,,,,
Переходы,переход,,,,,,,,,,,,,,,,,,,,
Транспорт,остановка,транспорт,трамвай,развязка,,,,,,,,,,,,,,,,,
Торговля,торговля,магазин,киоск,рынок,торговец,магазинчик,палатка,лоток,,,,,,,,,,,,
Разрешить организованную торговлю,торговый павильон образец,устанавливать ларек,снова появляться ларек,вернуть ларек,павильоны для,вернуть павильон,вернуть торговля,разнообразный магазин,нормальный рынок,торговый площадь,фермерский рынок,вернуть торговый,прежде все рынок,вернуть магазин,торговый ряд,легальный торговля,быть бы много торговый
Запретить торговлю,нелегальный торговля,спонтанный торговля,незаконный торговля,стихийный торговля,торговец,без палатка,подозрительный магазин,без торговый,не объект торговля,ни какой торговля,без торговля,убирать уличный торговля,торговля с,не быть торговля,без торговля,никакой торговля
?,арт,,,,,,,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,,,,,,,,
Наружная реклама,реклама,вывеска,экран,витрина,,,,,,,,,,,,,,,,,
Привести в порядок фасады,фасад,,,,,,,,,,,,,,,,,,,,
Освещение,фонарь,освещение,иллюминация,,,,,,,,,,,,,,,,,,
ТК Пик,пик,трк,,,,,,,,,,,,,,,,,,,
Качели,качели,,,,,,,,,,,,,,,,,,,,
Мероприятия,выступление,праздник,сцена,концерт,мероприятие,проведение,флешмоб,,,,,,,,,,,,,,
Навигация,указатель,стенд,навигация,схема,карта,инфопункт,афиша,,,,,,,,,,,,,,
Зоны отдыха,москва,маяковская,триумфальная,голландия,арбат,мощение,,,,,,,,,,,,,,,
Велоинфраструктура,велопарковка,велосипед,велодорожка,велопрокат,прокат,,,,,,,,,,,,,,,,
Туалеты,туалет,биотуалет,,,,,,,,,,,,,,,,,,,
?,заведение,,,,,,,,,,,,,,,,,,,,
Музей,музей,,,,,,,,,,,,,,,,,,,,
Навесы,крыша,козырек,,,,,,,,,,,,,,,,,,,
?,инфраструктура,,,,,,,,,,,,,,,,,,,,
Зарядка для телефонов,подзарядка,,,,,,,,,,,,,,,,,,,,
?,гуляние,,,,,,,,,,,,,,,,,,,,
Видеонаблюдение,видеонаблюдение,видеокамера,,,,,,,,,,,,,,,,,,,
Wi-Fi,вайфай,wifi,wi - fi,,,,,,,,,,,,,,,,,,
Библиотеки и обмен книгами,библиотека,,,,,,,,,,,,,,,,,,,,
Озеленение,зеленый насаждение,зеленый зона,парковый зона,живой изгородь,,,,,,,,,,,,,,,,,
Переходы,подземный переход,пешеходный переход,наземный переход,надземный переход,,,,,,,,,,,,,,,,,
Уличные музуканты,уличный музыкант,уличный артист,,,,,,,,,,,,,,,,,,,
Зоны отдыха,пешеходный зона,прогулочный зона,свободный пространство,открытый пространство,рекреационный зона,новый голландия,полностью пешеходный,,,,,,,,,,,,,,
Торговля,торговый павильон,сенной рынок,торговый точка,торговый ряд,торговый центр,,,,,,,,,,,,,,,
Скульптурные объекты,устанавливать памятник,скульптурный композиция,вернуть башня,,,,,,,,,,,,,,,,,,
Детские площадки,детский площадка,,,,,,,,,,,,,,,,,,,,
Тематические ярмарки,новогодний ярмарка,тематический ярмарка,сезонный ярмарка,,,,,,,,,,,,,,,,,,
Wi-Fi,вай фай,wi fi,,,,,,,,,,,,,,,,,,,
Парковки,подземный парковка,подземный паркинг,парковочный место,платный парковка,расширять парковка,убирать парковка,,,,,,,,,,,,,,,
Транспорт,транспортный узел,выделять полоса,транспортный развязка,,,,,,,,,,,,,,,,,,
Привести в порядок фасады,отреставрировать фасад,отреставрировать здание,отреставрировать все здание,реставрация здание,,,,,,,,,,,,,,,,,
Навигация,информационный стенд,,,,,,,,,,,,,,,,,,,,
Наружная реклама,рекламный вывеска,убирать реклама,единый стиль,,,,,,,,,,,,,,,,,,
Мероприятия,культурный мероприятие,массовый мероприятие,,,,,,,,,,,,,,,,,,,
Велоинфраструктура,велосипедный дорожка,,,,,,,,,,,,,,,,,,,,
Уличная еда,выпивать кофе,фаст фуд,стрит фуд,вкусный шаверма,,,,,,,,,,,,,,,,,
Библиотеки и обмен книгами,обмен книга,,,,,,,,,,,,,,,,,,,,
Малые архитектурные формы,малый архитектурный форма,,,,,,,,,,,,,,,,,,,,
Ничего не менять,ничто не надо,ничто не нужно,ничто не строить,все как быть,оставлять как быть,оставлять весь как,так как быть,больше ничто не,весь как быть,больше не строить,так и оставаться,все оставаться как,ничто не делать,как быть рано,оставлять все как,ничто больше не,все и оставлять,все хорошо,что не надо,оставлять без изменение,ничто устанавливать,как и быть,ничто не устанавливать,"оставаться ,  как сейчас"
Лавки,лавка,,,,,,,,,,,,,,,,,,,,
Уличная еда,ларек с кофе,ларек с шаверма,перекус,,,,,,,,,,,,,,,,,,
Места для сидения,где можно посидеть,место для сидение,,,,,,,,,,,,,,,,,,,
Транспорт,транспортный пересадочный узел,удобный пересадочный узел,полоса для трамвай,расширять проезжий часть,,,,,,,,,,,,,,,,,
Скульптурные объекты,вернуть башня мир,,,,,,,,,,,,,,,,,,,,
Переходы,переход через садовый,переход через московский,подземный пешеходный переход,дополнительный подземный переход,переход под московский,,,,,,,,,,,,,,,,
Навесы,навес над вход,навес от дождь,козырек над вход,навес над вход,крыша над вход,навес над спуск,козырек над выход,навес над подземный,навес над выход,крыша над подземный,козырек от осадок,крыша над лестница
Велоинфраструктура,парковка для велосипед,,,,,,,,,,,,,,,,,,,,
Выставки,стенд с фотография,,,,,,,,,,,,,,,,,,,,
ТК Пик,снести тк пик,стилизованный фасад тк,скрывать стилизованный фасад,,,,,,,,,,,,,,,,,,
Озеленение,растение в кадка,,,,,,,,,,,,,,,,,,,,
Парковки,увеличивать количество парковочный,,,,,,,,,,,,,,,,,,,,
Зоны отдыха,организовывать общественный пространство,место для встреча,встреча и отдых,адекватный пешеходный структура,место для отдых,зона для отдых,рекреация,место отдых,зона отдых,место для ожидание,,,,,,,,,,,
Детские площадки,площадка для ребенок,,,,,,,,,,,,,,,,,,,,
Мероприятия,культурно массовый мероприятие,,,,,,,,,,,,,,,,,,,,
Торговля,снова появляться ларек,,,,,,,,,,,,,,,,,,,,
Навигация,рассказывать об история,связывать с история,исторический справка,информационный бюро,,,,,,,,,,,,,,,,,
Наружная реклама,запрещать звуковой реклама,,,,,,,,,,,,,,,,,,,,
Уличные музуканты,выступление уличный артист,,,,,,,,,,,,,,,,,,,,
